"ref_date","user_source","share_scene","share_count","share_user"
"2016-11-18",0,2,55,39
"2016-11-18",0,5,4,4
"2016-11-19",0,1,97,78
"2016-11-19",0,2,88,78
"2016-11-19",0,5,2,2
"2016-11-20",0,1,30,24
"2016-11-20",0,2,23,22
"2016-11-20",0,5,4,4
"2016-11-21",0,1,38,29
"2016-11-21",0,2,46,29
"2016-11-21",0,5,9,7
"2016-11-22",0,1,33,28
"2016-11-22",0,2,38,25
"2016-11-22",0,5,9,5
"2016-11-23",0,1,83,57
"2016-11-23",0,2,68,52
"2016-11-23",0,5,4,4
"2016-11-24",0,1,101,80
"2016-11-24",0,2,49,39
"2016-11-24",0,5,17,12
"2016-11-25",0,1,74,54
"2016-11-25",0,2,63,41
"2016-11-25",0,5,9,6
"2016-11-26",0,1,32,25
"2016-11-26",0,2,19,18
"2016-11-26",0,5,6,4
"2016-11-27",0,1,25,18
"2016-11-27",0,2,43,24
"2016-11-27",0,5,1,1
"2016-11-28",0,1,113,86
"2016-11-28",0,2,57,44
"2016-11-28",0,5,10,7
"2016-11-29",0,1,99,71
"2016-11-29",0,2,71,52
"2016-11-29",0,5,13,9
"2016-11-30",0,1,64,41
"2016-11-30",0,2,57,30
"2016-11-30",0,5,4,4
"2016-12-01",0,1,130,70
"2016-12-01",0,2,48,26
"2016-12-01",0,5,4,4
"2016-12-02",0,1,81,62
"2016-12-02",0,2,78,33
"2016-12-02",0,5,14,7
"2016-12-03",0,1,44,40
"2016-12-03",0,2,19,18
"2016-12-03",0,5,2,2
"2016-12-04",0,1,34,24
"2016-12-04",0,2,28,21
"2016-12-04",0,5,2,2
"2016-12-05",0,1,68,48
"2016-12-05",0,2,45,31
"2016-12-05",0,5,9,5
"2016-12-06",0,1,58,42
"2016-12-06",0,2,38,22
"2016-12-06",0,5,3,2
"2016-12-07",0,1,114,85
"2016-12-07",0,2,60,48
"2016-12-07",0,5,9,6
"2016-12-08",0,1,88,51
"2016-12-08",0,2,55,32
"2016-12-08",0,5,9,6
"2016-12-09",0,1,52,41
"2016-12-09",0,2,63,46
"2016-12-09",0,5,3,2
"2016-12-10",0,1,31,19
"2016-12-10",0,2,37,29
"2016-12-10",0,5,5,2
"2016-12-11",0,1,6,6
"2016-12-11",0,2,19,18
"2016-12-12",0,1,40,36
"2016-12-12",0,2,39,35
"2016-12-12",0,5,3,2
"2016-12-13",0,1,73,55
"2016-12-13",0,2,46,38
"2016-12-13",0,5,2,2
"2016-12-14",0,1,79,67
"2016-12-14",0,2,95,67
"2016-12-14",0,5,12,8
"2016-12-15",0,1,91,74
"2016-12-15",0,2,69,54
"2016-12-15",0,5,3,2
"2016-12-16",0,1,217,168
"2016-12-16",0,2,260,246
"2016-12-16",0,5,9,6
"2016-12-17",0,1,384,312
"2016-12-17",0,2,567,528
"2016-12-17",0,5,11,11
"2016-12-18",0,1,316,241
"2016-12-18",0,2,402,382
"2016-12-18",0,5,2,2
"2016-12-19",0,1,257,182
"2016-12-19",0,2,231,209
"2016-12-19",0,5,9,8
"2016-12-20",0,1,114,69
"2016-12-20",0,2,109,89
"2016-12-20",0,5,5,5
"2016-12-21",0,1,78,61
"2016-12-21",0,2,85,60
"2016-12-21",0,5,11,8
"2016-12-22",0,1,71,60
"2016-12-22",0,2,78,41
"2016-12-22",0,5,2,1
"2016-12-23",0,1,89,70
"2016-12-23",0,2,96,79
"2016-12-23",0,5,4,4
"2016-12-24",0,1,82,66
"2016-12-24",0,2,51,45
"2016-12-24",0,5,4,4
"2016-12-25",0,1,77,59
"2016-12-25",0,2,81,65
"2016-12-25",0,5,3,3
"2016-12-26",0,1,89,61
"2016-12-26",0,2,48,39
"2016-12-26",0,5,8,5
"2016-12-27",0,1,75,55
"2016-12-27",0,2,36,26
"2016-12-27",0,5,3,3
"2016-12-28",0,1,97,74
"2016-12-28",0,2,78,63
"2016-12-28",0,5,10,7
"2016-12-29",0,1,49,38
"2016-12-29",0,2,29,21
"2016-12-29",0,5,4,4
"2016-12-30",0,1,65,36
"2016-12-30",0,2,60,27
"2016-12-30",0,5,8,5
"2016-12-31",0,1,23,21
"2016-12-31",0,2,16,14
"2016-12-31",0,5,3,3
"2017-01-01",0,1,40,33
"2017-01-01",0,2,48,41
"2017-01-01",0,5,5,5
"2017-01-02",0,1,29,22
"2017-01-02",0,2,57,41
"2017-01-02",0,5,6,4
"2017-01-03",0,1,61,39
"2017-01-03",0,2,56,33
"2017-01-03",0,5,7,3
"2017-01-04",0,1,39,27
"2017-01-04",0,2,31,16
"2017-01-04",0,5,6,3
