ref_date,ref_hour,user_source,share_scene,share_count,share_user
2016/6/15,900,0,1,5,5
2016/6/15,900,0,2,1,1
2016/6/15,1000,0,1,2,1
2016/6/15,1100,0,1,3,2
2016/6/15,1100,0,2,2,2
2016/6/15,1200,0,1,2,2
2016/6/15,1200,0,2,1,1
2016/6/15,1400,0,1,4,4
2016/6/15,1400,0,2,1,1
2016/6/15,1800,0,1,2,1
2016/6/15,1800,0,2,6,2
2016/6/15,1900,0,1,2,2
2016/6/15,1900,0,2,6,5
2016/6/15,2000,0,1,5,3
2016/6/15,2000,0,2,4,2
2016/6/15,2100,0,1,2,2
2016/6/15,2100,0,2,5,3
2016/6/15,2200,0,1,2,1
2016/6/15,2200,0,2,1,1
2016/6/15,2300,0,1,1,1
2016/6/15,2300,0,2,4,4
2016/6/16,200,0,2,1,1
2016/6/16,500,0,1,1,1
2016/6/16,500,0,2,1,1
2016/6/16,600,0,1,3,2
2016/6/16,600,0,2,2,2
2016/6/16,700,0,1,2,1
2016/6/16,700,0,2,2,2
2016/6/16,800,0,1,1,1
2016/6/16,800,0,2,4,4
2016/6/16,900,0,1,2,1
2016/6/16,1000,0,2,2,2
2016/6/16,1200,0,1,1,1
2016/6/16,1500,0,1,1,1
2016/6/16,1600,0,1,1,1
2016/6/16,1800,0,1,1,1
2016/6/16,1800,0,2,2,2
2016/6/16,1900,0,1,2,2
2016/6/16,1900,0,2,14,9
2016/6/16,2000,0,1,1,1
2016/6/16,2000,0,2,2,2
2016/6/16,2100,0,1,1,1
2016/6/16,2100,0,5,1,1
2016/6/16,2200,0,1,2,1
2016/6/16,2200,0,2,2,1
2016/6/17,0,0,1,1,1
2016/6/17,200,0,1,1,1
2016/6/17,700,0,1,2,1
2016/6/17,1000,0,1,3,1
2016/6/17,1000,0,5,1,1
2016/6/17,1300,0,1,2,1
2016/6/17,1300,0,2,3,2
2016/6/17,1500,0,1,3,1
2016/6/17,1500,0,5,1,1
2016/6/17,1700,0,1,1,1
2016/6/17,1800,0,1,1,1
2016/6/17,1800,0,2,1,1
2016/6/17,1800,0,5,2,1
2016/6/17,1900,0,1,1,1
2016/6/17,1900,0,2,4,4
2016/6/17,2000,0,1,2,2
2016/6/17,2000,0,2,1,1
2016/6/17,2100,0,1,11,4
2016/6/17,2100,0,2,12,10
2016/6/17,2200,0,1,3,3
2016/6/17,2200,0,2,3,3
2016/6/17,2300,0,1,3,2
2016/6/17,2300,0,2,4,4
2016/6/18,600,0,2,1,1
2016/6/18,700,0,2,1,1
2016/6/18,800,0,1,1,1
2016/6/18,800,0,2,3,2
2016/6/18,1200,0,2,1,1
2016/6/18,2000,0,2,3,2
2016/6/18,2100,0,2,2,2
2016/6/18,2300,0,2,1,1
2016/6/19,1000,0,1,2,2
2016/6/19,1400,0,1,1,1
2016/6/19,1600,0,1,1,1
2016/6/19,1800,0,2,1,1
2016/6/20,1100,0,1,1,1
2016/6/20,1300,0,1,3,2
2016/6/20,1300,0,2,2,2
2016/6/20,1300,0,5,4,1
2016/6/20,1400,0,1,1,1
2016/6/20,1700,0,1,2,2
2016/6/20,1700,0,5,1,1
2016/6/20,1900,0,1,2,1
