"ref_date","user_source","cumulate_user"
"2017-06-26",0,10303
"2017-06-27",0,10312
"2017-06-28",0,10325
"2017-06-29",0,10340
"2017-06-30",0,10351
"2017-07-01",0,10349
"2017-07-02",0,10363
"2017-07-03",0,10369
"2017-07-04",0,10378
"2017-07-05",0,10387
"2017-07-06",0,10393
"2017-07-07",0,10396
"2017-07-08",0,10397
"2017-07-09",0,10397
"2017-07-10",0,10404
"2017-07-11",0,10413
"2017-07-12",0,10425
"2017-07-13",0,10433
"2017-07-14",0,10443
"2017-07-15",0,10446
"2017-07-16",0,10448
"2017-07-17",0,10454
"2017-07-18",0,10519
"2017-07-19",0,10534
"2017-07-20",0,10549
"2017-07-21",0,10572
"2017-07-22",0,10580
"2017-07-23",0,10582
"2017-07-24",0,10591
"2017-07-25",0,10601
"2017-07-26",0,10602
"2017-07-27",0,10605
"2017-07-28",0,10610
"2017-07-29",0,10608
"2017-07-30",0,10612
"2017-07-31",0,10620
"2017-08-01",0,10618
"2017-08-02",0,10633
"2017-08-03",0,10635
"2017-08-04",0,10642
"2017-08-05",0,10651
"2017-08-06",0,10668
"2017-08-07",0,10685
"2017-08-08",0,10698
"2017-08-09",0,10713
"2017-08-10",0,10717
"2017-08-11",0,10722
"2017-08-12",0,10726
"2017-08-13",0,10720
"2017-08-14",0,10719
"2017-08-15",0,10728
"2017-08-16",0,10740
"2017-08-17",0,10750
"2017-08-18",0,10767
"2017-08-19",0,10769
"2017-08-20",0,10790
"2017-08-21",0,11283
"2017-08-22",0,11393
"2017-08-23",0,11744
"2017-08-24",0,11868
"2017-08-25",0,11839
"2017-08-26",0,11812
"2017-08-27",0,12073
"2017-08-28",0,12066
"2017-08-29",0,12056
"2017-08-30",0,12040
"2017-08-31",0,12035
"2017-09-01",0,12217
"2017-09-02",0,12200
"2017-09-03",0,12185
"2017-09-04",0,12183
"2017-09-05",0,12348
"2017-09-06",0,12372
"2017-09-07",0,12391
"2017-09-08",0,12394
"2017-09-09",0,12391
"2017-09-10",0,12381
"2017-09-11",0,12377
"2017-09-12",0,12387
"2017-09-13",0,12506
"2017-09-14",0,12504
"2017-09-15",0,12502
"2017-09-16",0,12502
"2017-09-17",0,12511
"2017-09-18",0,12502
"2017-09-19",0,12509
"2017-09-20",0,12532
"2017-09-21",0,12537
"2017-09-22",0,12542
"2017-09-23",0,12547
"2017-09-24",0,12547
"2017-09-25",0,12557
"2017-09-26",0,12572
"2017-09-27",0,12584
"2017-09-28",0,12592
"2017-09-29",0,12591
"2017-09-30",0,12595
"2017-10-01",0,12592
"2017-10-02",0,12590
"2017-10-03",0,12591
"2017-10-04",0,12588
"2017-10-05",0,12586
"2017-10-06",0,12586
"2017-10-07",0,12581
"2017-10-08",0,12584
"2017-10-09",0,12583
"2017-10-10",0,12587
"2017-10-11",0,12612
"2017-10-12",0,12633
"2017-10-13",0,12641
"2017-10-14",0,12639
"2017-10-15",0,12639
"2017-10-16",0,12657
"2017-10-17",0,12654
"2017-10-18",0,12673
"2017-10-19",0,12686
"2017-10-20",0,12692
"2017-10-21",0,12692
"2017-10-22",0,12692
"2017-10-23",0,12694
"2017-10-24",0,12698
"2017-10-25",0,12701
"2017-10-26",0,12709
"2017-10-27",0,12722
"2017-10-28",0,12729
"2017-10-29",0,12741
"2017-10-30",0,12745
"2017-10-31",0,12757
"2017-11-01",0,12758
"2017-11-02",0,12773
"2017-11-03",0,12776
"2017-11-04",0,12770
"2017-11-05",0,12770
"2017-11-06",0,12781
"2017-11-07",0,12791
"2017-11-08",0,12804
"2017-11-09",0,12811
"2017-11-10",0,12816
"2017-11-11",0,12819
"2017-11-12",0,12837
"2017-11-13",0,12854
"2017-11-14",0,12859
"2017-11-15",0,12878
"2017-11-16",0,12890
"2017-11-17",0,12891
"2017-11-18",0,12890
"2017-11-19",0,12896
"2017-11-20",0,12907
"2017-11-21",0,12916
"2017-11-22",0,12941
"2017-11-23",0,12966
"2017-11-24",0,12973
"2017-11-25",0,12984
"2017-11-26",0,12987
"2017-11-27",0,13014
"2017-11-28",0,13030
"2017-11-29",0,13059
"2017-11-30",0,13061
"2017-12-01",0,13077
"2017-12-02",0,13090
"2017-12-03",0,13098
"2017-12-04",0,13113
"2017-12-05",0,13132
"2017-12-06",0,13149
"2017-12-07",0,13161
"2017-12-08",0,13173
"2017-12-09",0,13176
"2017-12-10",0,13181
"2017-12-11",0,13194
"2017-12-12",0,13216
"2017-12-13",0,13234
"2017-12-14",0,13246
"2017-12-15",0,13264
"2017-12-16",0,13262
"2017-12-17",0,13271
"2017-12-18",0,13294
"2017-12-19",0,13306
"2017-12-20",0,13318
"2017-12-21",0,13340
"2017-12-22",0,13339
"2017-12-23",0,13355
"2017-12-24",0,13361
"2017-12-25",0,13370
"2017-12-26",0,13390
"2017-12-27",0,13410
"2017-12-28",0,13420
"2017-12-29",0,13434
"2017-12-30",0,13444
"2017-12-31",0,13446
"2018-01-01",0,13451
"2018-01-02",0,13462
"2018-01-03",0,13482
"2018-01-04",0,13486
"2018-01-05",0,13486
"2018-01-06",0,13492
"2018-01-07",0,13528
"2018-01-08",0,13544
"2018-01-09",0,13555
"2018-01-10",0,13564
"2018-01-11",0,13575
"2018-01-12",0,13578
"2018-01-13",0,13611
"2018-01-14",0,13625
"2018-01-15",0,13633
"2018-01-16",0,13637
"2018-01-17",0,13642
"2018-01-18",0,13649
"2018-01-19",0,13660
"2018-01-20",0,13667
"2018-01-21",0,13672
"2018-01-22",0,13687
"2018-01-23",0,13709
"2018-01-24",0,13713
"2018-01-25",0,13728
"2018-01-26",0,13737
"2018-01-27",0,13765
"2018-01-28",0,13768
"2018-01-29",0,13774
"2018-01-30",0,13785
"2018-01-31",0,13792
"2018-02-01",0,13795
"2018-02-02",0,13794
"2018-02-03",0,13801
"2018-02-04",0,13809
"2018-02-05",0,13820
"2018-02-06",0,13827
"2018-02-07",0,13844
"2018-02-08",0,13851
"2018-02-09",0,13859
"2018-02-10",0,13867
"2018-02-11",0,13872
"2018-02-12",0,13884
"2018-02-13",0,13886
"2018-02-14",0,13881
"2018-02-15",0,13885
"2018-02-16",0,13882
"2018-02-17",0,13888
"2018-02-18",0,13893
"2018-02-19",0,13904
"2018-02-20",0,13912
"2018-02-21",0,13917
"2018-02-22",0,13930
"2018-02-23",0,13944
"2018-02-24",0,13965
"2018-02-25",0,13975
"2018-02-26",0,14003
"2018-02-27",0,14011
"2018-02-28",0,14027
"2018-03-01",0,14032
"2018-03-02",0,14046
"2018-03-03",0,14050
"2018-03-04",0,14056
"2018-03-05",0,14074
"2018-03-06",0,14076
"2018-03-07",0,14082
"2018-03-08",0,14089
"2018-03-09",0,14094
"2018-03-10",0,14102
"2018-03-11",0,14107
"2018-03-12",0,14114
"2018-03-13",0,14124
"2018-03-14",0,14135
"2018-03-15",0,14151
"2018-03-16",0,14179
"2018-03-17",0,14188
"2018-03-18",0,14196
"2018-03-19",0,14212
"2018-03-20",0,14219
"2018-03-21",0,14223
"2018-03-22",0,14230
