"ref_date","user_source","int_page_read_user","int_page_read_count","ori_page_read_user","ori_page_read_count","share_user","share_count","add_to_fav_user","add_to_fav_count"
"2018-04-07",1,410,462,0,0,0,0,0,0
"2018-04-07",2,767,801,0,0,0,0,0,0
"2018-04-07",5,34,852,0,0,0,0,0,0
"2018-04-07",6,92,97,0,0,0,0,0,0
"2018-04-07",7,15,19,0,0,0,0,0,0
"2018-04-08",0,776,1310,0,0,94,111,13,15
"2018-04-08",1,156,196,0,0,0,0,0,0
"2018-04-08",2,862,914,0,0,0,0,0,0
"2018-04-08",5,51,548,0,0,0,0,0,0
"2018-04-08",6,62,69,0,0,0,0,0,0
"2018-04-08",7,23,27,0,0,0,0,0,0
"2018-04-09",0,751,1248,0,0,103,127,18,19
"2018-04-09",1,206,245,0,0,0,0,0,0
"2018-04-09",2,938,1013,0,0,0,0,0,0
"2018-04-09",5,34,659,0,0,0,0,0,0
"2018-04-09",6,279,290,0,0,0,0,0,0
"2018-04-09",7,29,34,0,0,0,0,0,0
"2018-04-10",0,678,1053,0,0,61,74,11,12
"2018-04-10",1,88,117,0,0,0,0,0,0
"2018-04-10",2,458,498,0,0,0,0,0,0
"2018-04-10",4,1,1,0,0,0,0,0,0
"2018-04-10",5,28,522,0,0,0,0,0,0
"2018-04-10",6,188,195,0,0,0,0,0,0
"2018-04-10",7,24,29,0,0,0,0,0,0
"2018-04-11",0,596,953,0,0,50,57,7,8
"2018-04-11",1,115,145,0,0,0,0,0,0
"2018-04-11",2,239,263,0,0,0,0,0,0
"2018-04-11",5,21,550,0,0,0,0,0,0
"2018-04-11",6,236,250,0,0,0,0,0,0
"2018-04-11",7,44,46,0,0,0,0,0,0
"2018-04-12",0,638,948,0,0,47,56,8,10
"2018-04-12",1,53,70,0,0,0,0,0,0
"2018-04-12",2,210,234,0,0,0,0,0,0
"2018-04-12",5,15,775,0,0,0,0,0,0
"2018-04-12",6,94,97,0,0,0,0,0,0
"2018-04-12",7,35,39,0,0,0,0,0,0
"2018-04-13",0,850,1371,0,0,161,211,28,35
"2018-04-13",1,245,298,0,0,0,0,0,0
"2018-04-13",2,939,1036,0,0,0,0,0,0
"2018-04-13",5,46,516,0,0,0,0,0,0
"2018-04-13",6,129,151,0,0,0,0,0,0
"2018-04-13",7,29,35,0,0,0,0,0,0
"2018-04-14",0,482,738,0,0,49,57,17,18
"2018-04-14",1,143,158,0,0,0,0,0,0
"2018-04-14",2,215,238,0,0,0,0,0,0
"2018-04-14",5,34,554,0,0,0,0,0,0
"2018-04-14",6,172,182,0,0,0,0,0,0
"2018-04-14",7,24,29,0,0,0,0,0,0
"2018-04-15",0,767,1046,0,0,33,38,10,12
"2018-04-15",1,50,58,0,0,0,0,0,0
"2018-04-15",2,285,306,0,0,0,0,0,0
"2018-04-15",5,32,543,0,0,0,0,0,0
"2018-04-15",6,112,114,0,0,0,0,0,0
"2018-04-15",7,24,25,0,0,0,0,0,0
"2018-04-16",0,649,984,0,0,42,47,7,9
"2018-04-16",1,80,93,0,0,0,0,0,0
"2018-04-16",2,151,171,0,0,0,0,0,0
"2018-04-16",5,28,370,0,0,0,0,0,0
"2018-04-16",6,16,17,0,0,0,0,0,0
"2018-04-16",7,28,34,0,0,0,0,0,0
"2018-04-17",0,626,917,0,0,46,47,13,13
"2018-04-17",1,58,73,0,0,0,0,0,0
"2018-04-17",2,223,241,0,0,0,0,0,0
"2018-04-17",5,34,498,0,0,0,0,0,0
"2018-04-17",6,26,26,0,0,0,0,0,0
"2018-04-17",7,23,25,0,0,0,0,0,0
"2018-04-18",0,757,1074,0,0,49,61,7,7
"2018-04-18",1,91,100,0,0,0,0,0,0
"2018-04-18",2,223,231,0,0,0,0,0,0
"2018-04-18",5,25,1051,0,0,0,0,0,0
"2018-04-18",6,43,44,0,0,0,0,0,0
"2018-04-18",7,33,35,0,0,0,0,0,0
"2018-04-19",0,723,1137,0,0,62,79,6,8
"2018-04-19",1,59,87,0,0,0,0,0,0
"2018-04-19",2,273,305,0,0,0,0,0,0
"2018-04-19",5,32,575,0,0,0,0,0,0
"2018-04-19",6,87,91,0,0,0,0,0,0
"2018-04-19",7,18,20,0,0,0,0,0,0
"2018-04-20",0,734,1146,0,0,83,125,10,10
"2018-04-20",1,239,286,0,0,0,0,0,0
"2018-04-20",2,649,725,0,0,0,0,0,0
"2018-04-20",5,83,753,0,0,0,0,0,0
"2018-04-20",6,93,97,0,0,0,0,0,0
"2018-04-20",7,20,28,0,0,0,0,0,0
"2018-04-21",0,587,888,0,0,45,59,6,10
"2018-04-21",1,171,195,0,0,0,0,0,0
"2018-04-21",2,440,471,0,0,0,0,0,0
"2018-04-21",5,62,544,0,0,0,0,0,0
"2018-04-21",6,69,71,0,0,0,0,0,0
"2018-04-21",7,27,32,0,0,0,0,0,0
"2018-04-22",0,533,902,0,0,62,73,24,25
"2018-04-22",1,136,156,0,0,0,0,0,0
"2018-04-22",2,548,604,0,0,0,0,0,0
"2018-04-22",5,22,623,0,0,0,0,0,0
"2018-04-22",6,60,66,0,0,0,0,0,0
"2018-04-22",7,24,27,0,0,0,0,0,0
"2018-04-23",0,724,1129,0,0,58,70,11,13
"2018-04-23",1,118,134,0,0,0,0,0,0
"2018-04-23",2,340,378,0,0,0,0,0,0
"2018-04-23",4,1,1,0,0,0,0,0,0
"2018-04-23",5,30,742,0,0,0,0,0,0
"2018-04-23",6,43,50,0,0,0,0,0,0
"2018-04-23",7,30,33,0,0,0,0,0,0
"2018-04-24",0,621,975,0,0,53,70,12,13
"2018-04-24",1,181,220,0,0,0,0,0,0
"2018-04-24",2,363,413,0,0,0,0,0,0
"2018-04-24",4,1,1,0,0,0,0,0,0
"2018-04-24",5,40,653,0,0,0,0,0,0
"2018-04-24",6,55,56,0,0,0,0,0,0
"2018-04-24",7,19,22,0,0,0,0,0,0
"2018-04-25",0,555,910,0,0,49,62,5,7
"2018-04-25",1,139,177,0,0,0,0,0,0
"2018-04-25",2,278,294,0,0,0,0,0,0
"2018-04-25",5,37,634,0,0,0,0,0,0
"2018-04-25",6,166,178,0,0,0,0,0,0
"2018-04-25",7,25,30,0,0,0,0,0,0
"2018-04-26",0,762,1220,0,0,39,56,7,9
"2018-04-26",1,74,92,0,0,0,0,0,0
"2018-04-26",2,133,142,0,0,0,0,0,0
"2018-04-26",5,23,612,0,0,0,0,0,0
"2018-04-26",6,158,162,0,0,0,0,0,0
"2018-04-26",7,15,16,0,0,0,0,0,0
"2018-04-27",0,836,1309,0,0,91,116,9,11
"2018-04-27",1,143,187,0,0,0,0,0,0
"2018-04-27",2,526,576,0,0,0,0,0,0
"2018-04-27",5,70,829,0,0,0,0,0,0
"2018-04-27",6,214,216,0,0,0,0,0,0
"2018-04-27",7,19,21,0,0,0,0,0,0
"2018-04-28",0,487,736,0,0,63,76,10,10
"2018-04-28",1,188,218,0,0,0,0,0,0
"2018-04-28",2,432,458,0,0,0,0,0,0
"2018-04-28",5,29,650,0,0,0,0,0,0
"2018-04-28",6,865,880,0,0,0,0,0,0
"2018-04-28",7,22,25,0,0,0,0,0,0
"2018-04-29",0,258,360,0,0,17,22,4,5
"2018-04-29",1,39,48,0,0,0,0,0,0
"2018-04-29",2,46,51,0,0,0,0,0,0
"2018-04-29",5,18,526,0,0,0,0,0,0
"2018-04-29",6,262,264,0,0,0,0,0,0
"2018-04-29",7,20,20,0,0,0,0,0,0
"2018-04-30",0,639,965,0,0,39,46,13,14
"2018-04-30",1,33,46,0,0,0,0,0,0
"2018-04-30",2,281,300,0,0,0,0,0,0
"2018-04-30",4,1,2,0,0,0,0,0,0
"2018-04-30",5,29,539,0,0,0,0,0,0
"2018-04-30",6,36,37,0,0,0,0,0,0
"2018-04-30",7,14,14,0,0,0,0,0,0
"2018-05-01",0,528,784,0,0,60,76,21,24
"2018-05-01",1,113,137,0,0,0,0,0,0
"2018-05-01",2,385,411,0,0,0,0,0,0
"2018-05-01",5,27,650,0,0,0,0,0,0
"2018-05-01",6,729,751,0,0,0,0,0,0
"2018-05-01",7,18,18,0,0,0,0,0,0
"2018-05-02",0,498,887,0,0,66,85,19,19
"2018-05-02",1,103,123,0,0,0,0,0,0
"2018-05-02",2,552,604,0,0,0,0,0,0
"2018-05-02",5,43,569,0,0,0,0,0,0
"2018-05-02",6,959,975,0,0,0,0,0,0
"2018-05-02",7,16,16,0,0,0,0,0,0
"2018-05-03",0,562,886,0,0,60,74,4,4
"2018-05-03",1,167,198,0,0,0,0,0,0
"2018-05-03",2,295,319,0,0,0,0,0,0
"2018-05-03",5,47,585,0,0,0,0,0,0
"2018-05-03",6,605,621,0,0,0,0,0,0
"2018-05-03",7,21,29,0,0,0,0,0,0
"2018-05-04",0,668,1158,0,0,42,45,11,11
"2018-05-04",1,77,88,0,0,0,0,0,0
"2018-05-04",2,113,121,0,0,0,0,0,0
"2018-05-04",5,39,637,0,0,0,0,0,0
"2018-05-04",6,69,71,0,0,0,0,0,0
"2018-05-04",7,24,27,0,0,0,0,0,0
"2018-05-05",0,670,1026,0,0,41,50,10,12
"2018-05-05",1,136,153,0,0,0,0,0,0
"2018-05-05",2,355,380,0,0,0,0,0,0
"2018-05-05",5,35,571,0,0,0,0,0,0
"2018-05-05",6,348,358,0,0,0,0,0,0
"2018-05-05",7,23,25,0,0,0,0,0,0
"2018-05-06",0,505,813,0,0,68,93,16,19
"2018-05-06",1,82,96,0,0,0,0,0,0
"2018-05-06",2,214,244,0,0,0,0,0,0
"2018-05-06",5,27,600,0,0,0,0,0,0
"2018-05-06",6,145,151,0,0,0,0,0,0
"2018-05-06",7,38,43,0,0,0,0,0,0
"2018-05-07",0,420,655,0,0,29,38,5,5
"2018-05-07",1,50,64,0,0,0,0,0,0
"2018-05-07",2,68,76,0,0,0,0,0,0
"2018-05-07",4,1,1,0,0,0,0,0,0
"2018-05-07",5,17,533,0,0,0,0,0,0
"2018-05-07",6,50,54,0,0,0,0,0,0
"2018-05-07",7,32,34,0,0,0,0,0,0
"2018-05-08",0,597,1039,0,0,53,70,10,12
"2018-05-08",1,61,74,0,0,0,0,0,0
"2018-05-08",2,223,250,0,0,0,0,0,0
"2018-05-08",5,24,639,0,0,0,0,0,0
"2018-05-08",6,61,62,0,0,0,0,0,0
"2018-05-08",7,31,32,0,0,0,0,0,0
"2018-05-09",0,606,983,0,0,39,93,5,5
"2018-05-09",1,55,75,0,0,0,0,0,0
"2018-05-09",2,183,208,0,0,0,0,0,0
"2018-05-09",5,26,850,0,0,0,0,0,0
"2018-05-09",6,44,46,0,0,0,0,0,0
"2018-05-09",7,24,36,0,0,0,0,0,0
"2018-05-10",0,429,689,0,0,32,38,2,3
